"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FGFFFLIJ_05728",85.5545862004988,0.115244413476254,0.339505305443376,0.339448048759505,0.734272227218526,0.814275022124425
"FGFFFLIJ_01029",46.3903084716041,0.131765462346316,0.388536520941126,0.339132759070241,0.734509721018856,0.814427886295905
"FGFFFLIJ_07078",14.5314292141046,0.215146149081797,0.635311613722887,0.338646649037397,0.734875935994525,0.814723416289101
"FGFFFLIJ_03579",2.26205537393986,0.62553715240005,1.84834857935169,0.338430293608069,0.735038948522863,0.814793615390934
"FGFFFLIJ_05593",4.74322162793709,-0.492837308587333,1.45995708772363,-0.337569722241471,0.735687462246564,0.81531492266738
"FGFFFLIJ_05760",46.3250133680306,0.150152692902412,0.44484218531057,0.337541487432406,0.735708742771557,0.81531492266738
"FGFFFLIJ_06408",2.95031241946073,0.644328387334338,1.9098908280455,0.337363988492324,0.735842528049128,0.815352627676996
"FGFFFLIJ_03816",361.219235570526,0.0635395162994316,0.188712920742294,0.336699342310541,0.7363435592122,0.815797195261124
"FGFFFLIJ_01261",18.0763745599621,0.210961852776852,0.627157135485434,0.336377983826275,0.736585849557528,0.815955021473798
"FGFFFLIJ_02028",32.0980768179455,-0.149313347671588,0.444299556060864,-0.336064588934979,0.736822160926598,0.816106182579359
"FGFFFLIJ_02331",157.68102633245,-0.0866805597759273,0.258194145612197,-0.335718532929558,0.73708312890193,0.816284608741934
"FGFFFLIJ_06549",76.0337800420279,0.112564161336085,0.336337326253983,0.334676387511871,0.737869215299857,0.817044451516831
"FGFFFLIJ_04156",106.351810590188,-0.0939301064992203,0.281269509402977,-0.333950546927736,0.738416876194661,0.817540115028307
"FGFFFLIJ_06903",78.1938098263906,0.105934382304614,0.318242369283751,0.332873283161616,0.739229937413949,0.818329443110417
"FGFFFLIJ_01702",4.81882818142827,-0.41804581216364,1.25641154077803,-0.332730000159634,0.739338101770435,0.818338340434691
"FGFFFLIJ_04556",53.3982852240867,0.117812753736108,0.355006466640821,0.331860866791774,0.73999432110077,0.818953769310304
"FGFFFLIJ_08234",43.4430757536293,0.14871003307279,0.448472752176493,0.331592125387957,0.740197266506119,0.819067459945101
"FGFFFLIJ_07055",124.909037685036,0.0815559335219754,0.246301443728653,0.331122433905927,0.740552006771096,0.819349066108051
"FGFFFLIJ_01231",23.2598339061204,0.195865843310497,0.592519046353382,0.330564636725081,0.740973361613398,0.819704288639185
"FGFFFLIJ_02419",16.1062476636108,-0.216610555946447,0.656814046971763,-0.329789773749706,0.741558814866808,0.820240924875683
"FGFFFLIJ_05639",98.137462622728,0.11680285265149,0.354695972356168,0.329304141447093,0.741925814114634,0.820535815799581
"FGFFFLIJ_03507",246.896839604415,0.0725441605761247,0.220707256110609,0.328689513224562,0.742390381559202,0.820938518263206
"FGFFFLIJ_05776",20.7682149862411,-0.199852925301617,0.609287435476815,-0.328010908587367,0.742903414669477,0.821283593682353
"FGFFFLIJ_05930",95.5979154261742,0.0959745645614233,0.292551800418506,0.328060071495469,0.742866243091191,0.821283593682353
"FGFFFLIJ_01330",15.5663777020458,0.277194018332508,0.845452516083537,0.327864679635206,0.743013980446061,0.821294733863357
"FGFFFLIJ_00208",10.7637247044753,-0.255005735080925,0.778831591387303,-0.327420892913053,0.743349566303924,0.821500186743748
"FGFFFLIJ_04890",194.419507545272,-0.0934846734288983,0.285577530836509,-0.327353041939484,0.74340087864392,0.821500186743748
"FGFFFLIJ_01098",55.4408570256096,-0.128081074188332,0.39230715191415,-0.326481619219525,0.744059993847426,0.822117389443695
"FGFFFLIJ_03021",176.952483605712,0.0728339437908543,0.223547371870273,0.325809886206673,0.744568198417656,0.82254960140072
